SiteId,Site_Name,Site_Brand,Site_Suburb,Fuel_Type,minutes_lowest,minutes_total,lowest_price_share_pct,avg_cpl
61401017,Ampol Foodary Reedy Creek South,Ampol,Reedy Creek,PULP 98 RON,151583.0,302963.999999911,50.03,206.0
61401017,Ampol Foodary Reedy Creek South,Ampol,Reedy Creek,Premium Diesel,92478.0,301874.999999776,30.63,198.2
61401017,Ampol Foodary Reedy Creek South,Ampol,Reedy Creek,Unleaded,158887.0,302963.999999911,52.44,181.6
61401017,Ampol Foodary Reedy Creek South,Ampol,Reedy Creek,e10,155293.0,302963.999999911,51.26,180.0
61401019,Freedom Fuels Varsity Lakes,Freedom Fuels,Burleigh Waters,Diesel,298164.0,298163.999999687,100.0,182.1
61401019,Freedom Fuels Varsity Lakes,Freedom Fuels,Burleigh Waters,LPG,85153.0,85152.9999998957,100.0,149.9
61401019,Freedom Fuels Varsity Lakes,Freedom Fuels,Burleigh Waters,PULP 95/96 RON,155052.0,304914.000000358,50.85,201.1
61401019,Freedom Fuels Varsity Lakes,Freedom Fuels,Burleigh Waters,PULP 98 RON,243538.0,304914.000000358,79.87,201.4
61401019,Freedom Fuels Varsity Lakes,Freedom Fuels,Burleigh Waters,Unleaded,218250.0,304914.000000358,71.58,179.1
61401019,Freedom Fuels Varsity Lakes,Freedom Fuels,Burleigh Waters,e10,222256.0,304914.000000358,72.89,177.1
61401020,Ampol Foodary Coomera,Ampol,Coomera,PULP 95/96 RON,10610.0,304978.999999836,3.48,205.4
61401020,Ampol Foodary Coomera,Ampol,Coomera,PULP 98 RON,259.0,304978.999999836,0.08,213.4
61401020,Ampol Foodary Coomera,Ampol,Coomera,Premium Diesel,259.0,303234.999999851,0.09,201.9
61401020,Ampol Foodary Coomera,Ampol,Coomera,Unleaded,27136.0,304978.999999836,8.9,189.2
61401020,Ampol Foodary Coomera,Ampol,Coomera,e10,7667.0,304978.999999836,2.51,187.2
61401023,EG Ampol Runaway Bay,EG Ampol,Runaway Bay,LPG,260715.0,260715.000000224,100.0,126.8
61401023,EG Ampol Runaway Bay,EG Ampol,Runaway Bay,PULP 95/96 RON,280350.0,304995.000000224,91.92,205.4
61401023,EG Ampol Runaway Bay,EG Ampol,Runaway Bay,PULP 98 RON,291035.0,304995.000000224,95.42,215.2
61401023,EG Ampol Runaway Bay,EG Ampol,Runaway Bay,Premium Diesel,290490.0,290489.999999776,100.0,200.8
61401023,EG Ampol Runaway Bay,EG Ampol,Runaway Bay,Unleaded,291035.0,304995.000000224,95.42,192.2
61401023,EG Ampol Runaway Bay,EG Ampol,Runaway Bay,e10,291035.0,304995.000000224,95.42,190.2
61401024,7-Eleven Runaway Bay,7 Eleven,Anglers Paradise,LPG,260755.0,260754.999999851,100.0,103.9
61401024,7-Eleven Runaway Bay,7 Eleven,Anglers Paradise,PULP 98 RON,304756.0,304756.000000387,100.0,215.6
61401024,7-Eleven Runaway Bay,7 Eleven,Anglers Paradise,Premium Diesel,290263.0,290262.999999896,100.0,199.2
61401024,7-Eleven Runaway Bay,7 Eleven,Anglers Paradise,Unleaded,304756.0,304756.000000387,100.0,192.6
61401024,7-Eleven Runaway Bay,7 Eleven,Anglers Paradise,e10,304756.0,304756.000000387,100.0,190.6
61401025,Ampol Foodary Labrador North,Ampol,Labrador North,PULP 95/96 RON,277224.0,277223.999999911,100.0,203.3
61401025,Ampol Foodary Labrador North,Ampol,Labrador North,PULP 98 RON,277224.0,277223.999999911,100.0,211.3
61401025,Ampol Foodary Labrador North,Ampol,Labrador North,Premium Diesel,300120.0,300119.999999776,100.0,200.4
61401025,Ampol Foodary Labrador North,Ampol,Labrador North,Unleaded,277224.0,277223.999999911,100.0,186.9
61401029,Caltex Southport,Caltex,Southport,PULP 98 RON,2813.0,304887.999999896,0.92,201.3
61401029,Caltex Southport,Caltex,Southport,Premium Diesel,18830.0,299115.99999994,6.3,181.9
61401029,Caltex Southport,Caltex,Southport,Unleaded,37476.0,304888.999999836,12.29,178.7
61401029,Caltex Southport,Caltex,Southport,e10,41743.0,304888.999999836,13.69,177.3
61401030,Metro Nerang,Metro Fuel,Nerang,Diesel,272898.0,284226.000000313,96.01,167.9
61401030,Metro Nerang,Metro Fuel,Nerang,PULP 98 RON,229016.0,304959.000000358,75.1,193.8
61401030,Metro Nerang,Metro Fuel,Nerang,Premium Diesel,289167.0,301918.999999836,95.78,170.5
61401030,Metro Nerang,Metro Fuel,Nerang,Unleaded,288828.0,304959.000000358,94.71,171.0
61401030,Metro Nerang,Metro Fuel,Nerang,e10,282137.0,304952.000000104,92.52,167.4
61401031,Liberty Helensvale North,Liberty,Helensvale,Diesel,252775.0,255982.00000003,98.75,179.5
61401031,Liberty Helensvale North,Liberty,Helensvale,PULP 98 RON,282141.0,305031.000000089,92.5,181.1
61401031,Liberty Helensvale North,Liberty,Helensvale,Premium Diesel,269876.0,293062.00000003,92.09,182.5
61401031,Liberty Helensvale North,Liberty,Helensvale,Unleaded,282111.0,305031.000000089,92.49,161.1
61401031,Liberty Helensvale North,Liberty,Helensvale,e10,282141.0,305031.000000089,92.5,157.1
61401033,Coles Express Yatala,Coles Express,Yatala North,PULP 95/96 RON,300970.0,300970.000000075,100.0,199.9
61401033,Coles Express Yatala,Coles Express,Yatala North,PULP 98 RON,300970.0,300970.000000075,100.0,209.9
61401033,Coles Express Yatala,Coles Express,Yatala North,Unleaded,300970.0,300970.000000075,100.0,187.0
61401033,Coles Express Yatala,Coles Express,Yatala North,e10,300970.0,300970.000000075,100.0,184.9
61401035,BP Johnston Street,BP,Southport,Diesel,227606.0,288914.000000507,78.78,171.2
61401035,BP Johnston Street,BP,Southport,PULP 98 RON,207067.0,304887.999999896,67.92,186.3
61401035,BP Johnston Street,BP,Southport,Premium Diesel,16945.0,299115.99999994,5.67,175.6
61401035,BP Johnston Street,BP,Southport,Unleaded,167431.0,304888.999999836,54.92,167.7
