PULocationID,trips,revenue,avg_fare,med_min,med_dist,rev_per_trip,share_pct,Borough,Zone
55,120,5553.63,44.74666666666667,60.66666666666667,11.2,46.28,0.02,Brooklyn,Coney Island
157,67,5469.65,68.69701492537313,32.95,10.38,81.64,0.02,Queens,Maspeth
225,163,5455.64,30.996196319018406,43.1,5.1,33.47,0.02,Brooklyn,Stuyvesant Heights
89,180,5409.52,28.62666666666667,33.983333333333334,4.0,30.05,0.02,Brooklyn,Flatbush/Ditmas Park
243,146,4920.81,28.358219178082194,21.78333333333333,5.275,33.7,0.02,Manhattan,Washington Heights North
80,114,4897.3,36.40333333333333,23.741666666666667,3.705,42.96,0.02,Brooklyn,East Williamsburg
188,164,4856.76,28.045731707317074,35.00833333333333,3.7,29.61,0.02,Brooklyn,Prospect-Lefferts Gardens
28,68,4709.17,56.42352941176471,39.775,11.225000000000001,69.25,0.02,Queens,Briarwood/Jamaica Hills
82,101,4694.2,38.069603960396044,25.183333333333334,5.62,46.48,0.02,Queens,Elmhurst
196,76,4573.18,50.84855263157895,32.7,8.325,60.17,0.02,Queens,Rego Park
37,142,4546.48,29.144929577464787,39.31666666666666,4.85,32.02,0.02,Brooklyn,Bushwick South
247,106,4391.09,35.39339622641509,30.425,5.95,41.43,0.01,Bronx,West Concourse
39,121,4363.7,34.76429752066115,37.85,4.9,36.06,0.01,Brooklyn,Canarsie
83,62,4226.36,57.623709677419356,14.158333333333333,4.1899999999999995,68.17,0.01,Queens,Elmhurst/Maspeth
168,125,4092.63,28.8168,31.616666666666667,5.1,32.74,0.01,Bronx,Mott Haven/Port Morris
35,128,3993.19,29.32109375,34.63333333333333,3.55,31.2,0.01,Brooklyn,Brownsville
91,115,3964.5299999999997,32.67565217391304,35.61666666666667,4.2,34.47,0.01,Brooklyn,Flatlands
112,128,3897.55,23.344140625,21.34166666666667,3.505,30.45,0.01,Brooklyn,Greenpoint
72,122,3840.59,29.59918032786885,36.766666666666666,5.0,31.48,0.01,Brooklyn,East Flatbush/Remsen Village
85,115,3628.95,30.050434782608697,38.016666666666666,4.4,31.56,0.01,Brooklyn,Erasmus
228,104,3547.81,29.792115384615386,36.208333333333336,5.1,34.11,0.01,Brooklyn,Sunset Park West
51,71,3470.44,45.326760563380276,61.11666666666667,14.1,48.88,0.01,Bronx,Co-Op City
17,125,3451.72,25.56848,28.45,2.9,27.61,0.01,Brooklyn,Bedford
14,97,3288.61,30.33257731958763,42.516666666666666,7.2,33.9,0.01,Brooklyn,Bay Ridge
52,112,3139.79,21.692857142857143,15.208333333333332,2.08,28.03,0.01,Brooklyn,Cobble Hill
177,92,3005.8,29.586739130434783,34.458333333333336,3.7,32.67,0.01,Brooklyn,Ocean Hill
